id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_001,Quyết định 1515/QĐ-ĐHBK-ĐT về tổ chức dạy-học trực tuyến tại Bách khoa Hà Nội được ban hành vào ngày tháng năm nào?,simple,easy,Ngày 29 tháng 6 năm 2021.,d260b4dc-f8de-4bb5-850d-226941c0b923,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"c7231541-9cfd-40fe-b795-c457f23ea9cd,4867c8f4-9a82-4d51-9341-47c7bd4e4c77,d78b860f-2174-45c7-927e-4abb7c80cbd0,73c8ed9f-1d83-4f3d-84d1-1d94237c98f1,a227072b-b06a-4354-9e0e-afa8d84de998,0b7bab66-af9b-4aa4-b1b1-4b7327c72776,047b5a56-39e3-45fd-a643-ebe5b8f974b8",rag_v2,rag,7,14325.13,True,good,grounded,complete,Thông tin về Quyết định 1515/QĐ-ĐHBK-ĐT không có trong ngữ cảnh được cung cấp. Trợ lý đã trả lời đúng là không tìm thấy thông tin.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin cần thiết trong khi câu trả lời tham chiếu đã cung cấp ngày ban hành chính xác.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_002,Quy định dạy-học trực tuyến tại Bách khoa Hà Nội được áp dụng cho những loại hình đào tạo nào?,simple,easy,Áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ.,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,"Theo Quy định tổ chức hoạt động dạy-học trên nền tảng công nghệ kết nối và trực tuyến của Đại học Bách khoa Hà Nội, quy định này áp dụng cho các loại hình đào tạo cấp văn bằng từ trình độ cử nhân đến trình độ tiến sĩ của Trường.","b2a74895-0b04-476e-a2a5-259ffa3ba6ba,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,d260b4dc-f8de-4bb5-850d-226941c0b923,5b4496d8-98ba-431d-b3ee-bfa3cac1a914,a8a28e34-df56-4cde-85f8-dabfa212c436,01639421-9da0-41f4-853c-1976160c2896,cf8c7863-fa17-4efc-ab07-d4c51a943d4c",rag_v2,rag,7,6036.57,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 1, mục 2 của văn bản quy định về dạy-học trực tuyến trong ngữ cảnh được cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_003,Dạy-học trực tuyến theo thời gian thực tại Bách khoa Hà Nội ưu tiên sử dụng phần mềm nào?,simple,easy,Ưu tiên Microsoft Teams (MS Teams).,b59db2df-eead-4a9d-9150-b4400e361391,"Theo quy định về điều kiện thực hiện dạy-học trực tuyến theo thời gian thực tại Đại học Bách khoa Hà Nội, phần mềm được ưu tiên sử dụng là Microsoft Teams (MS Teams).","bff9c21a-e42e-4aba-a023-8fb73be20f52,d00d8b97-db4b-464a-823c-979081167e3e,b59db2df-eead-4a9d-9150-b4400e361391,a8ed9ddf-812d-4e3c-bcf9-c5bada7350fb,3255f500-0ecc-4420-80be-a191126bdbf4",rag_v2,rag,5,9283.96,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp (Điều 3, mục 1).",incorrect,"Judge call error: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite\nPlease retry in 10.99107346s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-flash-lite'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}]",1.0,0.3333,1.0,0.3333,0.5,1.0,0.2,1.0,0.3333,0.5,1.0,0.1429,1.0,0.3333,0.5
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_004,"Tại Bách khoa Hà Nội, dạy-học trực tuyến được áp dụng mấy hình thức và tên gọi của từng hình thức là gì?",simple,easy,"Ba hình thức: (a) Dạy-học trực tuyến theo thời gian thực; (b) Dạy-học hỗn hợp (B-Learning); (c) Dạy-học trực tuyến ngoài khung thời khóa biểu để bổ trợ, ôn tập kiến thức.","01639421-9da0-41f4-853c-1976160c2896,5075916e-0bf3-4b35-bad6-a5032d1948c9","Tại Đại học Bách khoa Hà Nội, hoạt động dạy-học trực tuyến được áp dụng theo ba hình thức sau:

*   **Dạy-học trực tuyến theo thời gian thực:** Được tổ chức đúng khung thời gian trong thời khóa biểu học tập, sử dụng phần mềm giảng dạy trực tuyến với nội dung theo đề cương học phần.
*   **Dạy-học hỗn hợp (B-Learning):** Kết hợp giữa dạy-học trực tiếp trên lớp theo thời khóa biểu và truyền phát bài giảng điện tử thông qua hệ thống quản trị học tập (LMS). Thời lượng bài giảng điện tử được quy chuẩn theo tiết học và được truyền phát thường xuyên trong cả học kỳ.
*   **Dạy-học trực tuyến ngoài khung thời gian:** Được tổ chức ngoài thời khóa biểu nhằm mục đích bổ trợ, tổng kết, ôn tập kiến thức cho các học phần trong chương trình đào tạo hoặc đáp ứng năng lực ngoại ngữ theo yêu cầu.","01639421-9da0-41f4-853c-1976160c2896,b2a74895-0b04-476e-a2a5-259ffa3ba6ba,d260b4dc-f8de-4bb5-850d-226941c0b923",rag_v2,rag,3,9829.94,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và hoàn toàn dựa trên ngữ cảnh được cung cấp.",incorrect,"Judge call error: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite\nPlease retry in 57.771148825s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-3.1-flash-lite', 'location': 'global'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '57s'}]}}]",1.0,0.3333,0.5,1.0,0.6131,1.0,0.2,0.5,1.0,0.6131,1.0,0.1429,0.5,1.0,0.6131
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_005,Dạy-học trực tuyến không được áp dụng với loại học phần nào tại Bách khoa Hà Nội?,simple,easy,"Không áp dụng với các học phần (hoặc một phần nội dung học phần) có yêu cầu nâng cao nhận thức qua trải nghiệm thực tế và rèn luyện kỹ năng như thí nghiệm, thực hành, thực tập.",5075916e-0bf3-4b35-bad6-a5032d1948c9,"ERROR: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite\nPlease retry in 41.259698178s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-flash-lite'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '41s'}]}}]",,error,error,0,0.0,False,bad,hallucinated,incomplete,"Pipeline crashed: Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 15, model: gemini-3.1-flash-lite\nPlease retry in 41.259698178s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-flash-lite'}, 'quotaValue': '15'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '41s'}]}}]",incorrect,Pipeline error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_006,Tổng số tín chỉ dạy-học trên LMS của các học phần B-Learning không được vượt quá bao nhiêu phần trăm tổng số tín chỉ của chương trình đào tạo?,simple,easy,Không được vượt quá 30% tổng số tín chỉ của chương trình đào tạo.,83d42fb2-ce2f-4afd-aae9-c458efd880a8,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"6c965fc0-0be0-4751-87d4-47ba6b1aa880,06ada73c-1835-4f94-8b7f-61d465ebb914,2e9408a7-caf1-48f5-be5c-141ef26e562e,eb023a40-0b82-4105-ab49-a178c9dc17cd,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,f90914dd-eefc-4452-9ce6-2ca73f0bc542,12da1a0f-228c-4c36-8730-24b6903e495f",rag_v2,rag,7,12313.88,True,good,grounded,complete,Thông tin về tỷ lệ tín chỉ cho các học phần B-Learning không có trong ngữ cảnh được cung cấp.,incorrect,"The generated answer fails to provide the required information, whereas the reference answer provides a specific percentage.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_007,Thời lượng kiến thức truyền phát trên LMS trong B-Learning tối đa bằng bao nhiêu phần trăm thời lượng học phần?,simple,easy,Tối đa 70% thời lượng của học phần.,29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo quy định tại Điều 4, thời lượng kiến thức được truyền phát trên LMS tối đa là 70% thời lượng của học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,83d42fb2-ce2f-4afd-aae9-c458efd880a8,10373bab-6651-47b6-881d-22da9dadfbd8,5075916e-0bf3-4b35-bad6-a5032d1948c9",rag_v2,rag,4,13320.12,True,good,grounded,complete,"Câu trả lời chính xác, trích dẫn đúng thông tin từ Điều 4, khoản 2 của ngữ cảnh được cung cấp.",correct,"Cả hai câu trả lời đều đưa ra con số chính xác là 70% thời lượng học phần, câu trả lời được tạo ra chỉ bổ sung thêm thông tin về nguồn quy định.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_008,Điểm quá trình có trọng số tối thiểu là bao nhiêu khi tính điểm học phần B-Learning tại Bách khoa?,simple,easy,"Điểm quá trình có trọng số tối thiểu là 0,3 khi tính điểm học phần.",29e39d41-8258-4b90-a89b-65a96c8d4a60,"Theo quy định về điều kiện thực hiện B-Learning, điểm quá trình đối với học phần B-Learning phải có trọng số tối thiểu là 0,3 khi tính điểm học phần.","29e39d41-8258-4b90-a89b-65a96c8d4a60,2b0fbec5-5367-4be1-bb76-82c39b262de1,05386dd4-5f59-401e-8233-ce48580ea2ec",rag_v2,rag,3,9463.29,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp tại Điều 4, khoản 2 của tài liệu về B-Learning.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính xác từ câu trả lời tham chiếu và không có thông tin sai lệch.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_009,Đối với lớp học phần B-Learning có quy mô từ bao nhiêu người học trở lên phải bố trí trợ lý học tập?,simple,easy,Lớp học phần có quy mô từ 40 người học trở lên phải có tối thiểu một trợ lý học tập.,5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Đối với các lớp học phần B-Learning có quy mô từ 40 người học trở lên, đơn vị chuyên môn phải có kế hoạch tuyển chọn và bố trí tối thiểu một (01) trợ lý học tập.","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,83d42fb2-ce2f-4afd-aae9-c458efd880a8,69a4a819-6544-4525-b4be-2a2da9691a94",rag_v2,rag,3,14549.96,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin được cung cấp tại Điều 4, khoản 5 của ngữ cảnh.",correct,Câu trả lời đã truyền tải đầy đủ thông tin chính về quy mô lớp học (từ 40 người trở lên) và yêu cầu bố trí trợ lý học tập.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
QD_to_chuc_day_hoc_truc_tuyen_BLearning_simple_010,Trợ lý học tập trong B-Learning có thể là đối tượng nào?,simple,easy,"Sinh viên năm cuối, học viên cao học hoặc nghiên cứu sinh.",5de4ef9c-bd9e-467a-80fe-356dd0948e2b,"Theo quy định tại Điều 4, đối tượng có thể làm trợ lý học tập trong các lớp học phần B-Learning bao gồm:

*   Sinh viên năm cuối.
*   Học viên cao học (HVCH).
*   Nghiên cứu sinh (NCS).","5de4ef9c-bd9e-467a-80fe-356dd0948e2b,ee35346d-2962-4113-b5d4-d43f197379ed,69a4a819-6544-4525-b4be-2a2da9691a94",rag_v2,rag,3,6999.12,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào thông tin tại Điều 4, mục 5 của ngữ cảnh cung cấp.",correct,Câu trả lời được tạo ra truyền tải đầy đủ và chính xác các thông tin từ câu trả lời tham chiếu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
