id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định này áp dụng cho sinh viên khóa nào?,simple,easy,K63 và K64,43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Dựa trên các tài liệu được cung cấp, phạm vi áp dụng đối với sinh viên khóa đào tạo như sau:

*   **Đối với khóa 70 trở về sau:** Quy định về ngoại ngữ (theo tài liệu ""Quy định > Điều 7. Hiệu lực thi hành"") áp dụng từ học kỳ 1 năm học 2025-2026.
*   **Đối với khóa 69 trở về trước:** Các quy định hiện hành về ngoại ngữ vẫn tiếp tục có hiệu lực thi hành cho đến thời điểm kết thúc khóa đào tạo (trừ quy định về quy đổi tương đương chứng chỉ).
*   **Đối với các khóa cụ thể khác:**
    *   **Khóa 63 và 64:** Có quy định riêng về chuẩn tiếng Anh theo trình độ và chuẩn tiếng Anh đầu ra.
    *   **Khóa 62, 63, 64:** Có quy định riêng về chuẩn ngoại ngữ đầu ra đối với các chương trình đặc biệt và chất lượng cao (ĐTTN, KSCLC PFIEV, Tiên tiến, CNTT Việt-Nhật, ICT).
    *   **Khóa 68 và 69:** Áp dụng Quy định về phân loại trình độ đầu vào, chương trình môn học và chuẩn ngoại ngữ yêu cầu ban hành theo Quyết định tháng 03 năm 2024.

Ngoài ra, Quy chế đào tạo chung của Đại học Bách khoa Hà Nội áp dụng cho sinh viên đại học, học viên cao học (HVCH) và nghiên cứu sinh (NCS) theo các quy định cụ thể được nêu trong văn bản.","4825815f-a9cb-477c-846e-52bd2209a149,cb4b2379-702a-44c1-a6cd-1dfa3c97350f,648800ef-6f78-4f14-b25d-0f6e15270055,43dc8f77-a8cb-4250-9ff4-57163f5c21de,4a80a675-b3d5-4a09-8833-ae3f2f00bff5,f59645a8-a831-4db5-867c-0f63ca0121e5,89728544-bace-5b19-8837-acb52cc8364e",rag_v2,rag,7,14273.65,False,good,hallucinated,complete,Trợ lý đã đưa thêm thông tin về 'Khóa 68 và 69' và 'Quyết định tháng 03 năm 2024' không hề xuất hiện trong ngữ cảnh được cung cấp. Việc tự ý bổ sung thông tin ngoài ngữ cảnh vi phạm quy tắc về tính trung thực (faithfulness).,correct,"Câu trả lời đã xác nhận thông tin K63 và K64 có quy định riêng, khớp với nội dung của câu trả lời tham chiếu.",0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.25,0.4307,1.0,0.1429,1.0,0.25,0.4307
chunks_001_simple_002,Những đối tượng nào không áp dụng quy định này?,simple,easy,"Ngành Ngôn ngữ Anh, ELITECH và SV nước ngoài",43dc8f77-a8cb-4250-9ff4-57163f5c21de,"Dựa trên các tài liệu được cung cấp, đối tượng không áp dụng quy định về ngoại ngữ (phân loại trình độ đầu vào, chương trình môn học, chuẩn ngoại ngữ) bao gồm:

*   **Đối với sinh viên khóa K65, K66, K67, K68, K69:**
    *   Sinh viên thuộc ngành Ngôn ngữ Anh.
    *   Sinh viên là người nước ngoài đang học tại Đại học Bách khoa Hà Nội.

*   **Đối với sinh viên khóa K70:**
    *   Sinh viên là người nước ngoài theo học các chương trình đào tạo (CTĐT) có ngôn ngữ giảng dạy chính là tiếng Việt.
    *   Đối với sinh viên là người nước ngoài theo học các CTĐT có ngôn ngữ giảng dạy khác tiếng Việt, việc xét miễn/áp dụng ngoại ngữ cơ bản thực hiện theo nguyên tắc tương đương năng lực và Phụ lục của Quy định.","4a80a675-b3d5-4a09-8833-ae3f2f00bff5,f59645a8-a831-4db5-867c-0f63ca0121e5,b5e56233-0562-4f16-b606-807e4f5cf8e0,cb4b2379-702a-44c1-a6cd-1dfa3c97350f",rag_v2,rag,4,15529.87,True,good,grounded,complete,Câu trả lời đã phân loại chính xác các đối tượng không áp dụng quy định dựa trên các văn bản khác nhau được cung cấp trong ngữ cảnh (phân biệt giữa nhóm K65-K69 và nhóm K70).,correct,Câu trả lời đã bao quát đầy đủ các đối tượng được nêu trong đáp án tham chiếu và bổ sung thông tin chi tiết hơn theo từng khóa học.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_003,Sinh viên đạt điều kiện nào được miễn 2 học phần tiếng Anh cơ bản?,simple,easy,Đạt điểm thi hoặc có chứng chỉ quốc tế phù hợp,c788754c-50b2-4f77-b454-da84817e116e,"Điều kiện miễn 2 học phần tiếng Anh cơ bản phụ thuộc vào chương trình đào tạo của sinh viên:

*   **Đối với sinh viên hệ chính quy chuẩn (Khóa K63, K64):** Sinh viên đạt yêu cầu về điểm thi môn Tiếng Anh trong kỳ thi THPT Quốc gia hàng năm hoặc có chứng chỉ tiếng Anh quốc tế sẽ được miễn học và công nhận đã hoàn thành 2 học phần tiếng Anh cơ bản.
*   **Đối với sinh viên chương trình chuẩn và chương trình tài năng (Khóa K70):** Sinh viên được miễn học (ghi điểm R) các học phần tiếng Anh cơ bản tùy thuộc vào nhóm trình độ đầu vào (được phân loại dựa trên kết quả đánh giá phân loại tiếng Anh đầu vào hoặc chứng chỉ quốc tế như APTIS ESOL, Cambridge Assessment English, PEIC). Chi tiết về các nhóm miễn học được quy định tại Bảng 3.1 của Phụ lục III.
*   **Đối với sinh viên chương trình tiên tiến (ELITECH) và chương trình hợp tác quốc tế (Khóa K70):** Sinh viên được miễn học (ghi điểm R) các học phần tiếng Anh cơ bản tùy thuộc vào nhóm trình độ đầu vào (được phân loại dựa trên kết quả đánh giá phân loại tiếng Anh đầu vào hoặc chứng chỉ quốc tế như APTIS ESOL, Cambridge Assessment English, PEIC). Chi tiết về các nhóm miễn học được quy định tại Bảng 4.1 của Phụ lục IV.
*   **Đối với sinh viên ngành Cơ điện tử - ĐH Leibniz Hannover (ME-LUH):** Sinh viên có chứng chỉ tiếng Anh năm thứ nhất tương đương TOEIC >= 300 có thể được miễn 2 học phần tiếng Anh cơ bản.

Để có câu trả lời chính xác nhất cho trường hợp của bạn, vui lòng cho biết bạn đang theo học chương trình đào tạo nào.","c788754c-50b2-4f77-b454-da84817e116e,d667cb24-43d5-48a9-a2df-4f97b6db5e37,87879cb9-d1f4-4f25-8374-48c610d9e60b,42da1af7-8270-4cd7-9219-78d53d1dfea5,6c764ae6-eb75-457c-a363-805f9702a5df",rag_v2,rag,5,10995.61,False,good,hallucinated,complete,"Trợ lý đã đưa thêm thông tin về 'sinh viên ngành Cơ điện tử - ĐH Leibniz Hannover (ME-LUH)' và điều kiện 'TOEIC >= 300' vào câu trả lời, trong khi thông tin này hoàn toàn không có trong ngữ cảnh được cung cấp.",correct,"The generated answer provides a more detailed and accurate explanation of the conditions for exemption, which encompasses the core requirement mentioned in the reference answer (scores or international certificates).",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Học phần tiếng Anh cơ bản có tính vào GPA không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Việc tính điểm các học phần tiếng Anh cơ bản vào GPA phụ thuộc vào khóa đào tạo của sinh viên:

*   **Đối với sinh viên khóa K63, K64:** Điểm thi kết thúc các học phần tiếng Anh cơ bản **không** tính vào điểm trung bình học kỳ, điểm trung bình tích lũy và điểm trung bình tốt nghiệp.
*   **Đối với các khóa khác (K65, K66, K67, K70):** Tài liệu hiện có không đề cập cụ thể về việc các học phần tiếng Anh cơ bản có tính vào GPA hay không.

Bạn đang học khóa nào? Vui lòng cung cấp thông tin để tôi có thể hỗ trợ bạn chính xác hơn.","c788754c-50b2-4f77-b454-da84817e116e,6c764ae6-eb75-457c-a363-805f9702a5df,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,3,17201.98,True,good,grounded,complete,"Câu trả lời phản ánh chính xác thông tin từ ngữ cảnh: đối với K63, K64 quy định rõ không tính vào GPA; đối với các khóa sau, tài liệu chỉ nêu danh mục học phần và số tín chỉ nhưng không khẳng định việc tính vào GPA, nên câu trả lời đã xử lý đúng bằng cách nêu rõ giới hạn của dữ liệu.",partial,"The generated answer provides a more nuanced and potentially more accurate context for a specific university setting, whereas the reference answer is a simple 'No' which may be too broad or context-dependent.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,Chưa hoàn thành tiếng Anh cơ bản có được thi chứng chỉ nội bộ không?,simple,easy,Không,c788754c-50b2-4f77-b454-da84817e116e,"Theo quy định đối với sinh viên khóa K63, K64, sinh viên chưa hoàn thành chương trình tiếng Anh cơ bản **không được phép** đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường.","c788754c-50b2-4f77-b454-da84817e116e,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee",rag_v2,rag,3,10319.71,True,good,grounded,complete,Câu trả lời hoàn toàn chính xác và dựa trên thông tin được cung cấp trong ngữ cảnh (mục 2 phần Học phần tiếng Anh cơ bản và Chứng chỉ tiếng Anh nội bộ).,correct,"Cả hai câu trả lời đều khẳng định việc không được phép thi chứng chỉ nội bộ khi chưa hoàn thành tiếng Anh cơ bản, câu trả lời được tạo ra chỉ bổ sung thêm ngữ cảnh cụ thể cho sinh viên.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,Trượt học phần tiếng Anh cơ bản phải làm gì?,simple,easy,Đăng ký học lại,c788754c-50b2-4f77-b454-da84817e116e,"Việc xử lý khi trượt học phần tiếng Anh cơ bản được quy định tùy theo khóa học của sinh viên như sau:

*   **Đối với sinh viên khóa K63, K64:**
    *   Sinh viên không hoàn thành học phần nào thì phải đăng ký học lại học phần đó.
    *   Lưu ý: Điểm thi kết thúc các học phần tiếng Anh cơ bản là điều kiện để công nhận hoàn thành chương trình; nếu chưa hoàn thành, sinh viên không được phép đăng ký dự thi chứng chỉ tiếng Anh nội bộ của Trường.

*   **Đối với sinh viên khóa K65, K66, K67 và K70:**
    *   Tài liệu hiện có không nêu cụ thể quy định về việc học lại khi trượt học phần tiếng Anh cơ bản đối với các khóa này.

Nếu bạn thuộc khóa K65, K66, K67 hoặc K70, vui lòng cung cấp thêm thông tin hoặc tham khảo các quy định chi tiết hơn tại các phòng ban chức năng của Trường.","c788754c-50b2-4f77-b454-da84817e116e,6c764ae6-eb75-457c-a363-805f9702a5df,d667cb24-43d5-48a9-a2df-4f97b6db5e37",rag_v2,rag,3,11405.59,True,good,grounded,complete,"Câu trả lời đã phản ánh chính xác thông tin có trong ngữ cảnh cho từng nhóm khóa sinh viên. Đối với K63, K64 có quy định rõ ràng, còn đối với các khóa khác, ngữ cảnh chỉ cung cấp danh mục học phần và điều kiện miễn học chứ không nêu quy trình xử lý khi trượt, nên việc trợ lý trả lời như vậy là trung thực với dữ liệu được cung cấp.",correct,The generated answer includes the core requirement of 'đăng ký học lại' (registering to retake the course) while providing more specific context for different student cohorts.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo các tài liệu quy định, sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường nhiều lần. Kết quả thi sẽ được công nhận dựa trên điểm thi cao nhất trong các lần thi đó.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,11370.37,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào các đoạn ngữ cảnh được cung cấp (khẳng định sinh viên được thi nhiều lần và lấy điểm cao nhất).",correct,"Câu trả lời đã truyền tải đúng thông tin chính là sinh viên được thi nhiều lần, đồng thời bổ sung thêm thông tin hữu ích về việc công nhận kết quả.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Tôi không tìm thấy thông tin về thời hạn giá trị của kết quả thi nội bộ trong các tài liệu tham khảo hiện có. Các tài liệu chỉ đề cập đến thủ tục, lịch thi và cách đăng ký thi tiếng Anh nội bộ, nhưng không nêu rõ kết quả có giá trị bao lâu.","b3da5b88-7cdb-49f3-a44a-ec96880cd880,10a77213-1105-4d32-9fe2-197392ad6ccd,cd2f5755-2ee3-4964-825e-133cee1d4fed,9550b987-cb8c-4f33-970a-35c0b5c5a380,22ac7873-a3a0-47ac-b591-59009531051a,acb5ce40-efa5-46f2-a93d-914d91287e15,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6,/clc.hust.edu.vn/faqs-mot-cau-hoi-thuong-gap,/clc.hust.edu.vn/ket-qua-thi-tieng-anh-noi-bo-va-thu-tuc-lam-giay-chung-nhan,/ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf",rag_v2,rag,10,29331.04,True,good,grounded,complete,Ngữ cảnh được cung cấp không chứa thông tin về thời hạn giá trị của kết quả thi nội bộ. Trợ lý đã trả lời đúng dựa trên phạm vi ngữ cảnh và đề xuất tìm kiếm thêm thông tin.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn 2 năm như trong đáp án tham khảo mà lại khẳng định không tìm thấy thông tin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chunks_001_simple_009,TOEIC bao nhiêu được cấp chứng nhận nội bộ?,simple,easy,500,a518a642-cf7f-46f9-bb00-97a3d6f9de7a,"Theo quy định về chuẩn tiếng Anh đối với sinh viên đại học hệ chính quy chuẩn (Khóa K63, K64), sinh viên đạt điểm TOEIC 500 trở lên trong kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường sẽ được cấp Chứng nhận tiếng Anh nội bộ.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,92d8e047-8bb5-4660-93e7-681e3804d5ee,802dab5c-4871-45a2-9e86-01e7a65c36d7",rag_v2,rag,3,10028.81,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,"Câu trả lời đã nêu rõ mức điểm 500 là điều kiện để được cấp chứng nhận nội bộ, khớp với thông tin trong câu trả lời tham chiếu.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_010,Chuẩn tiếng Anh từ 64 tín chỉ là bao nhiêu TOEIC?,simple,easy,350,92d8e047-8bb5-4660-93e7-681e3804d5ee,"Yêu cầu về chuẩn tiếng Anh khi tích lũy từ 64 tín chỉ trở lên phụ thuộc vào khóa học và chương trình đào tạo của sinh viên như sau:

*   **Đối với sinh viên khóa K63, K64:**
    *   Yêu cầu đạt tối thiểu **350 TOEIC**.

*   **Đối với sinh viên khóa K65, K66, K67:**
    *   Chương trình đào tạo chuẩn: Yêu cầu đạt tối thiểu **400 TOEIC**.
    *   Chương trình đào tạo Tài năng và Tiên tiến: Yêu cầu đạt tối thiểu **400 TOEIC**.

*   **Đối với sinh viên khóa K68, K69:**
    *   Các tài liệu hiện có không quy định theo điểm TOEIC mà quy định theo Bậc năng lực ngoại ngữ (Khung 6 bậc Việt Nam). Cụ thể:
        *   Chương trình đào tạo chuẩn: Yêu cầu đạt tối thiểu **Bậc 2.2**.
        *   Chương trình đào tạo Tài năng: Yêu cầu đạt tối thiểu **Bậc 2.3**.

Vui lòng cho biết khóa học và chương trình đào tạo của bạn để nhận được thông tin chính xác nhất.","92d8e047-8bb5-4660-93e7-681e3804d5ee,e3a29e1c-9828-458f-8089-ebccfa6e428c,0db1712a-4ff5-42c0-af28-2e759190c6f7,0fc121e1-e9b8-49b1-ae89-f4265ce3087f,3405d3b5-d35f-4a39-ad58-362ceb51a44e,a53edad8-7533-49d8-ba03-b33725bde4dc,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7",rag_v2,rag,7,9883.3,False,good,partially_grounded,complete,"Câu trả lời có sự nhầm lẫn về thông tin đối với khóa K68, K69. Trong ngữ cảnh cung cấp, bảng 4.2 của khóa K68, K69 chỉ đề cập đến chương trình Tài năng, không có thông tin về chương trình đào tạo chuẩn (để đưa ra mức Bậc 2.2). Ngoài ra, việc suy diễn thông tin không có trong ngữ cảnh khiến tính trung thực bị ảnh hưởng.",partial,"The generated answer includes the reference value (350) but provides additional context and varying requirements based on student cohorts, whereas the reference answer provides a single, simplified value.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
