id,question,question_type,difficulty,gold_answer,relevant_chunk_ids,generated_answer,retrieved_chunk_ids,mode,intent,num_sources,latency_ms,self_eval_pass,self_eval_relevance,self_eval_faithfulness,self_eval_completeness,self_eval_reason,ref_match,ref_match_reason,hit@3,precision@3,recall@3,mrr@3,ndcg@3,hit@5,precision@5,recall@5,mrr@5,ndcg@5,hit@7,precision@7,recall@7,mrr@7,ndcg@7
chunks_001_simple_001,Quy định áp dụng cho những chương trình nào?,simple,easy,"ĐTTN, PFIEV, Tiên tiến, CNTT Việt-Nhật và ICT",648800ef-6f78-4f14-b25d-0f6e15270055,"Quy định về ngoại ngữ tại Đại học Bách khoa Hà Nội áp dụng cho các đối tượng sau:

*   **Đối với sinh viên khóa 62, 63, 64 (chương trình đặc biệt và chất lượng cao):** Áp dụng cho sinh viên các chương trình Đào tạo tài năng (ĐTTN), Kỹ sư chất lượng cao PFIEV (KSCLC), Tiên tiến, Công nghệ thông tin Việt-Nhật và Công nghệ thông tin ICT.
*   **Đối với sinh viên từ khóa 65 trở về sau:** Áp dụng cho toàn bộ sinh viên đại học hệ chính quy, không thuộc ngành Ngôn ngữ Anh và không phải là sinh viên người nước ngoài (trừ trường hợp sinh viên người nước ngoài theo học các chương trình có ngôn ngữ giảng dạy khác tiếng Việt thì thực hiện theo nguyên tắc tương đương năng lực).

Bạn có thể xem chi tiết các quy định áp dụng theo khóa tại trang thông tin của Phòng Đào tạo [tại đây](https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=44574).","648800ef-6f78-4f14-b25d-0f6e15270055,61401637-bc11-4144-a5cc-727f5936e8fc,f59645a8-a831-4db5-867c-0f63ca0121e5,2bec3c2d-f6ae-438a-9073-0f73ac26c3d7,b5e56233-0562-4f16-b606-807e4f5cf8e0",rag_v2,rag,5,9820.24,True,good,grounded,complete,Câu trả lời đã tổng hợp chính xác các đối tượng áp dụng quy định ngoại ngữ dựa trên các văn bản ngữ cảnh khác nhau cho từng nhóm khóa sinh viên (K62-K64 và từ K65 trở đi).,correct,The generated answer includes all the programs listed in the reference answer while providing additional context regarding the scope of the regulation.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_002,KSCLC yêu cầu TOEIC bao nhiêu?,simple,easy,600,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Đối với chương trình Kỹ sư chất lượng cao (KSCLC), chuẩn tiếng Anh đầu ra được quy định là TOEIC 600.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,6c764ae6-eb75-457c-a363-805f9702a5df,bcf80e92-ff6d-4f03-8d93-3309053d4305",rag_v2,rag,3,31522.47,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp.",correct,Câu trả lời đã cung cấp chính xác thông tin về mức điểm TOEIC 600 theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_003,KSCLC yêu cầu chuẩn tiếng Pháp nào?,simple,easy,DELF B1,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Theo quy định đối với chương trình KSCLC, chuẩn tiếng Pháp đầu ra là **DELF B1** theo kết quả của kỳ thi đánh giá trình độ tiếng Pháp DELF (diplôme d'études en langue française).","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,de789d2b-26a8-4db4-89ec-5282810512e7,2e9408a7-caf1-48f5-be5c-141ef26e562e,08a8bb6e-240d-4b80-b852-a5d8f4fbe231,29f052b7-36c2-45c4-8400-46c2737d02a9,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,ad7f1ea8-9539-4fa0-9078-a35eaf02a8e0",rag_v2,rag,7,11821.33,True,good,grounded,complete,Câu trả lời đã trích dẫn chính xác thông tin về chuẩn tiếng Pháp đầu ra cho chương trình KSCLC từ ngữ cảnh được cung cấp.,correct,Câu trả lời đã nêu chính xác chuẩn tiếng Pháp DELF B1 theo yêu cầu.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_004,Không đạt chuẩn ngoại ngữ KSCLC có thể làm gì?,simple,easy,Đề nghị cấp bằng chính quy cùng ngành,26e290ff-48bf-4531-8e3d-4e6eb8cfb297,"Đối với sinh viên chương trình KSCLC, nếu đã tích lũy đủ số tín chỉ của chương trình đào tạo nhưng không đạt chuẩn ngoại ngữ đầu ra (TOEIC 600 và DELF B1), sinh viên có thể đề nghị Hiệu trưởng xem xét việc cấp bằng tốt nghiệp đại học hệ chính quy cùng ngành.","26e290ff-48bf-4531-8e3d-4e6eb8cfb297,bf63050b-88ed-45e2-ab7a-7e5f6601168b,29fa02a8-f103-451e-aba2-ccdfd9d6c501",rag_v2,rag,3,20189.41,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào ngữ cảnh được cung cấp về quy định đối với sinh viên chương trình KSCLC không đạt chuẩn ngoại ngữ đầu ra.",correct,Câu trả lời đã truyền tải đầy đủ thông tin cốt lõi từ đáp án tham khảo và bổ sung thêm ngữ cảnh cụ thể về điều kiện tích lũy tín chỉ và chuẩn ngoại ngữ.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_005,ĐTTN yêu cầu TOEIC bao nhiêu?,simple,easy,600,40852fba-6e9d-4c21-a405-55e2dea22587,"Yêu cầu về chuẩn tiếng Anh đầu ra đối với chương trình Đào tạo tài năng (ĐTTN) được quy định như sau:

*   **Đối với khóa K62, K63, K64:** Yêu cầu đạt TOEIC 600.
*   **Đối với các chương trình đào tạo tiên tiến và chất lượng cao sử dụng ngoại ngữ chính là tiếng Pháp (khóa K65, K66, K67):** Điều kiện xét tốt nghiệp là DELF B1 và TOEIC 600.","40852fba-6e9d-4c21-a405-55e2dea22587,f46b63f1-bb52-45c4-b6f8-6c5a69bc03f7,bcf80e92-ff6d-4f03-8d93-3309053d4305",rag_v2,rag,3,10988.24,True,good,grounded,complete,"Câu trả lời đã trích xuất chính xác thông tin về chuẩn TOEIC đầu ra cho chương trình Đào tạo tài năng từ ngữ cảnh được cung cấp, phân loại rõ ràng theo các nhóm khóa học.",correct,"Câu trả lời đã cung cấp thông tin chính xác về yêu cầu TOEIC 600 theo yêu cầu của câu hỏi, đồng thời bổ sung thêm ngữ cảnh chi tiết về các khóa học.",1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_006,ICT yêu cầu TOEIC bao nhiêu?,simple,easy,650,40852fba-6e9d-4c21-a405-55e2dea22587,"Đối với chương trình Công nghệ thông tin (ICT), chuẩn tiếng Anh đầu ra yêu cầu đạt TOEIC 650.","40852fba-6e9d-4c21-a405-55e2dea22587,6c764ae6-eb75-457c-a363-805f9702a5df,7b653b5b-d25b-41e4-8849-c24b2fcdc63e",rag_v2,rag,3,8723.63,True,good,grounded,complete,Câu trả lời chính xác và đầy đủ dựa trên thông tin được cung cấp trong ngữ cảnh về chuẩn ngoại ngữ đầu ra đối với chương trình ICT.,correct,Câu trả lời đã cung cấp đúng thông tin về mức điểm TOEIC 650 theo yêu cầu của câu hỏi.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_007,CNTT Việt-Nhật yêu cầu chuẩn tiếng Nhật nào?,simple,easy,JLPT N3,50de962d-960e-4575-a247-432f0806cc82,"Đối với chương trình Công nghệ thông tin Việt-Nhật, yêu cầu về chuẩn tiếng Nhật được quy định như sau:

*   **Chuẩn đầu ra khi xét tốt nghiệp:** Yêu cầu đạt chứng chỉ tiếng Nhật từ N3 hoặc đạt toàn bộ các học phần tiếng Nhật trong chương trình đào tạo (gồm JP1110, JP1120, JP1132, JP2111).
*   **Yêu cầu tích lũy tín chỉ:**
    *   Từ 32 tín chỉ: Yêu cầu đạt các học phần tiếng Nhật ở Mức 1 & Mức 2 (JP1110, JP1120).
    *   Từ 64 tín chỉ: Yêu cầu đạt chứng chỉ tiếng Nhật N3 hoặc hoàn thành các học phần tiếng Nhật từ Mức 1 đến Mức 4 (JP1110, JP1120, JP1132, JP2111).
*   **Điều kiện xét nhận đồ án/khóa luận tốt nghiệp:** Yêu cầu đạt chứng chỉ tiếng Nhật N3 hoặc hoàn thành các học phần tiếng Nhật từ Mức 1 đến Mức 4.

*Lưu ý:* Đối với sinh viên từ khóa K65 trở đi, chương trình còn yêu cầu hoàn thành thêm các học phần tiếng Nhật định hướng kỹ thuật (từ JP2126 đến JP3120) theo quy định tại Bảng 9.4.","50de962d-960e-4575-a247-432f0806cc82,c5b4362d-53ba-4584-aafe-609e87d36808,be784e43-a586-4bae-a895-869eb1a2b05a,554c02b9-5ec3-441a-924c-49bf5e34bfe9,31b3a226-d38b-4c25-a2f4-c5aca7984c14,4017170b-cb68-4dd8-a42b-247851257060,3815b690-92fc-4c4f-be68-1d7fc7899b38",rag_v2,rag,7,10170.79,False,good,hallucinated,complete,"Câu trả lời của trợ lý tự ý bịa đặt các mã học phần (như JP1110, JP1120, JP1132, JP2111, JP2126, JP3120) không hề xuất hiện trong ngữ cảnh được cung cấp. Ngoài ra, thông tin về việc yêu cầu thêm các học phần định hướng kỹ thuật từ khóa K65 trở đi cũng không có trong dữ liệu đầu vào.",correct,The generated answer includes the required JLPT N3 standard mentioned in the reference answer while providing more detailed context regarding the academic requirements.,1.0,0.3333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1429,1.0,1.0,1.0
chunks_001_simple_008,Sinh viên được thi chứng chỉ nội bộ bao nhiêu lần?,simple,easy,Nhiều lần,62e638d3-744a-451f-bf9f-ba21910b9635,"Theo các tài liệu quy định, sinh viên được tham dự các kỳ thi cấp chứng chỉ tiếng Anh nội bộ của Trường nhiều lần. Kết quả thi sẽ được công nhận dựa trên điểm thi cao nhất trong các lần thi đó.","a518a642-cf7f-46f9-bb00-97a3d6f9de7a,62e638d3-744a-451f-bf9f-ba21910b9635,cc76675a-03f2-4ce9-bd63-e3505995581a",rag_v2,rag,3,9557.72,True,good,grounded,complete,"Câu trả lời chính xác, đầy đủ và dựa hoàn toàn vào các đoạn ngữ cảnh được cung cấp (khẳng định sinh viên được thi nhiều lần và lấy điểm cao nhất).",correct,"Câu trả lời đã truyền tải đúng thông tin chính là sinh viên được thi nhiều lần, đồng thời bổ sung thêm thông tin hữu ích về việc công nhận kết quả.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_009,Điểm thi nội bộ được công nhận như thế nào?,simple,easy,Lấy điểm cao nhất,62e638d3-744a-451f-bf9f-ba21910b9635,"Việc công nhận kết quả thi các kỳ thi ngoại ngữ nội bộ tại Trường Đại học Bách khoa Hà Nội được quy định như sau:

*   **Nguyên tắc công nhận:** Sinh viên được phép tham dự các kỳ thi nhiều lần và nhà trường sẽ công nhận điểm thi cao nhất trong các lần thi đó.
*   **Thời hạn hiệu lực:** Kết quả thi có giá trị công nhận trong vòng 02 năm kể từ ngày thi.
*   **Điều kiện tham dự (đối với sinh viên K63, K64):** Sinh viên phải hoàn thành chương trình tiếng Anh cơ bản mới được phép đăng ký tham dự kỳ thi cấp chứng chỉ tiếng Anh nội bộ.
*   **Lưu ý về chương trình đào tạo:** Đối với sinh viên thuộc chương trình đào tạo tiên tiến, chương trình đào tạo tài năng và chương trình đào tạo hợp tác quốc tế, việc xét công nhận đạt chuẩn ngoại ngữ đầu ra bắt buộc phải sử dụng chứng chỉ ngoại ngữ quốc tế (không sử dụng kết quả thi nội bộ).","cc76675a-03f2-4ce9-bd63-e3505995581a,62e638d3-744a-451f-bf9f-ba21910b9635,a518a642-cf7f-46f9-bb00-97a3d6f9de7a",rag_v2,rag,3,11634.8,True,good,grounded,complete,"Câu trả lời đầy đủ, chính xác, dựa hoàn toàn vào ngữ cảnh được cung cấp và giải quyết được các khía cạnh quan trọng của câu hỏi.",correct,"Câu trả lời được tạo ra đã bao gồm thông tin cốt lõi từ câu trả lời tham chiếu (lấy điểm cao nhất) và bổ sung thêm các thông tin chi tiết, chính xác khác.",1.0,0.3333,1.0,0.5,0.6309,1.0,0.2,1.0,0.5,0.6309,1.0,0.1429,1.0,0.5,0.6309
chunks_001_simple_010,Kết quả thi nội bộ có giá trị bao lâu?,simple,easy,2 năm,62e638d3-744a-451f-bf9f-ba21910b9635,Tôi không tìm thấy thông tin này trong tài liệu hiện có.,"b3da5b88-7cdb-49f3-a44a-ec96880cd880,10a77213-1105-4d32-9fe2-197392ad6ccd,cd2f5755-2ee3-4964-825e-133cee1d4fed,9550b987-cb8c-4f33-970a-35c0b5c5a380,22ac7873-a3a0-47ac-b591-59009531051a,acb5ce40-efa5-46f2-a93d-914d91287e15,5c83760d-ffa6-4966-b24a-0d8f5b4ff1d6",rag_v2,rag,7,11649.08,True,good,grounded,complete,Thông tin về thời hạn giá trị của kết quả thi nội bộ không có trong các văn bản được cung cấp.,incorrect,Câu trả lời được tạo ra không cung cấp thông tin về thời hạn giá trị của kết quả thi nội bộ như trong câu trả lời tham chiếu.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
